Survived,Pclass,Sex,Age
1,1,female,38.0
1,3,female,26.0
1,1,female,35.0
1,3,female,27.0
1,2,female,14.0
1,3,female,4.0
1,1,female,58.0
1,2,female,55.0
1,2,male,0.0
1,3,female,0.0
1,2,male,34.0
1,3,female,15.0
1,1,male,28.0
1,3,female,38.0
1,3,female,0.0
1,1,female,0.0
1,3,female,0.0
1,3,male,0.0
1,3,female,14.0
1,2,female,3.0
1,3,female,19.0
1,3,female,0.0
1,1,female,49.0
1,2,female,29.0
1,1,male,0.0
1,2,female,21.0
1,2,female,5.0
1,1,female,38.0
1,3,male,0.0
1,2,female,29.0
1,3,female,17.0
1,3,male,32.0
1,2,male,0.83
1,3,female,30.0
1,3,male,29.0
1,3,female,0.0
1,2,female,17.0
1,3,female,33.0
1,1,female,23.0
1,1,male,23.0
1,2,female,34.0
1,3,female,21.0
1,3,male,0.0
1,3,female,0.0
1,2,female,32.5
1,3,male,12.0
1,3,male,24.0
1,3,female,0.0
1,2,female,29.0
1,1,female,19.0
1,3,female,22.0
1,3,female,24.0
1,3,male,27.0
1,1,female,22.0
1,3,female,16.0
1,2,female,40.0
1,3,male,9.0
1,1,female,0.0
1,3,female,1.0
1,2,male,1.0
1,3,female,4.0
1,3,female,0.0
1,1,male,45.0
1,2,female,32.0
1,3,female,19.0
1,2,male,3.0
1,1,female,44.0
1,1,female,58.0
1,3,female,0.0
1,3,male,18.0
1,3,male,26.0
1,3,female,16.0
1,1,male,40.0
1,2,female,35.0
1,1,female,31.0
1,3,female,27.0
1,1,female,32.0
1,3,male,16.0
1,1,male,38.0
1,2,male,19.0
1,1,female,35.0
1,3,female,5.0
1,2,female,8.0
1,3,female,0.0
1,2,female,24.0
1,1,male,37.0
1,3,female,29.0
1,1,female,0.0
1,1,female,30.0
1,1,female,35.0
1,2,female,50.0
1,3,male,3.0
1,3,male,25.0
1,1,female,58.0
1,1,female,35.0
1,3,male,25.0
1,2,female,41.0
1,3,female,0.0
1,1,female,63.0
1,3,female,35.0
1,3,male,19.0
1,3,male,30.0
1,2,male,42.0
1,3,female,22.0
1,1,female,26.0
1,1,female,19.0
1,1,male,0.0
1,1,female,50.0
1,3,female,0.0
1,3,male,0.0
1,2,female,0.0
1,1,male,0.92
1,1,female,0.0
1,1,female,17.0
1,1,female,30.0
1,1,female,24.0
1,1,female,18.0
1,3,female,26.0
1,2,female,24.0
1,1,female,31.0
1,1,female,40.0
1,2,female,30.0
1,2,female,22.0
1,1,female,36.0
1,2,female,36.0
1,3,female,31.0
1,1,female,16.0
1,3,female,0.0
1,1,female,0.0
1,1,female,41.0
1,3,male,45.0
1,2,male,2.0
1,1,female,24.0
1,2,female,24.0
1,2,female,40.0
1,3,female,0.0
1,3,male,3.0
1,1,female,22.0
1,3,female,0.0
1,3,female,0.0
1,1,female,60.0
1,3,female,0.0
1,3,female,0.0
1,1,female,24.0
1,1,male,25.0
1,1,female,0.0
1,3,female,22.0
1,1,female,42.0
1,3,female,1.0
1,1,female,35.0
1,2,female,36.0
1,2,female,17.0
1,1,male,36.0
1,3,male,21.0
1,1,female,23.0
1,3,female,24.0
1,2,female,28.0
1,3,male,39.0
1,2,male,3.0
1,1,female,33.0
1,3,male,44.0
1,2,female,34.0
1,2,female,18.0
1,2,female,28.0
1,2,female,19.0
1,3,male,32.0
1,1,male,28.0
1,3,female,0.0
1,2,female,42.0
1,1,female,14.0
1,2,female,24.0
1,2,female,45.0
1,2,female,28.0
1,3,male,0.0
1,1,male,4.0
1,2,female,13.0
1,1,male,34.0
1,3,female,5.0
1,1,male,52.0
1,1,male,49.0
1,3,male,29.0
1,1,female,0.0
1,2,female,50.0
1,1,male,48.0
1,3,female,0.75
1,2,female,33.0
1,2,female,23.0
1,3,female,2.0
1,3,female,63.0
1,1,male,25.0
1,1,female,35.0
1,3,male,9.0
1,1,female,54.0
1,1,female,16.0
1,2,female,33.0
1,1,male,0.0
1,3,male,26.0
1,3,male,29.0
1,1,male,36.0
1,1,female,54.0
1,2,female,34.0
1,2,female,36.0
1,1,female,30.0
1,1,female,44.0
1,2,female,50.0
1,2,female,2.0
1,3,female,0.0
1,2,female,7.0
1,1,female,30.0
1,1,female,22.0
1,1,female,36.0
1,2,male,32.0
1,2,female,19.0
1,2,male,0.0
1,2,male,8.0
1,1,male,17.0
1,3,male,22.0
1,3,female,22.0
1,1,female,48.0
1,1,female,39.0
1,3,female,36.0
1,3,male,32.0
1,2,male,62.0
1,1,female,53.0
1,1,male,36.0
1,3,female,0.0
1,2,female,34.0
1,1,female,39.0
1,3,male,32.0
1,2,female,25.0
1,1,female,39.0
1,1,female,18.0
1,1,male,60.0
1,1,female,52.0
1,2,female,0.0
1,1,male,49.0
1,2,female,24.0
1,1,male,35.0
1,1,male,27.0
1,2,female,22.0
1,1,female,40.0
1,3,female,0.0
1,2,female,24.0
1,2,female,4.0
1,1,male,42.0
1,3,male,20.0
1,1,female,21.0
1,1,male,80.0
1,1,male,32.0
1,2,female,28.0
1,1,female,24.0
1,3,male,0.0
1,3,female,0.75
1,1,male,48.0
1,1,male,56.0
1,3,female,23.0
1,2,female,18.0
1,3,female,0.0
1,1,male,50.0
1,3,male,20.0
1,1,female,0.0
1,2,female,40.0
1,2,male,31.0
1,3,female,18.0
1,1,male,36.0
1,1,male,27.0
1,1,female,15.0
1,1,male,31.0
1,3,female,4.0
1,3,male,0.0
1,3,female,0.0
1,1,female,18.0
1,1,male,35.0
1,2,female,45.0
1,1,male,42.0
1,1,female,22.0
1,3,male,0.0
1,1,female,24.0
1,1,male,48.0
1,1,female,38.0
1,2,female,27.0
1,2,female,6.0
1,1,male,27.0
1,2,female,30.0
1,3,female,0.0
1,1,female,29.0
1,1,male,35.0
1,1,male,0.0
1,1,female,21.0
1,3,male,31.0
1,2,female,30.0
1,2,female,4.0
1,3,male,6.0
1,2,female,48.0
1,2,male,0.67
1,1,female,33.0
1,3,male,20.0
1,1,female,36.0
1,1,female,51.0
1,2,female,54.0
1,3,female,5.0
1,1,female,43.0
1,3,female,13.0
1,1,female,17.0
1,3,female,18.0
1,3,male,1.0
1,1,female,49.0
1,3,female,31.0
1,2,female,31.0
1,1,male,11.0
1,3,male,0.42
1,3,male,27.0
1,1,female,33.0
1,1,female,52.0
1,3,male,27.0
1,3,female,27.0
1,2,male,1.0
1,3,male,0.0
1,1,female,62.0
1,3,female,15.0
1,2,male,0.83
1,1,female,39.0
1,3,male,32.0
1,1,male,0.0
1,1,female,30.0
1,1,female,0.0
1,1,female,16.0
1,3,female,18.0
1,1,female,45.0
1,1,male,51.0
1,3,female,24.0
1,1,female,48.0
1,2,female,42.0
1,2,female,27.0
1,3,male,4.0
1,1,female,47.0
1,2,female,28.0
1,3,female,15.0
1,1,female,56.0
1,2,female,25.0
1,1,female,19.0
1,1,male,26.0
